"guid","name","parent","numbering_method",is_deemedpositive,affects_stock
"9e3a44e6-0772-4858-98d2-d045badcf80f-000000d3","Ajdsadsadas","Attendance","None",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-0000004e","Attendance","Attendance","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000020","Contra","Contra","Default",0,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000028","Credit Note","Credit Note","Default",0,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-0000002a","Debit Note","Debit Note","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000030","Delivery Note","Delivery Note","Default",0,1
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000052","Job Work In Order","Job Work In Order","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000054","Job Work Out Order","Job Work Out Order","Default",0,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000026","Journal","Journal","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000058","Material In","Material In","Default",1,1
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000056","Material Out","Material Out","Default",1,1
"9e3a44e6-0772-4858-98d2-d045badcf80f-0000003c","Memorandum","Memorandum","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-000000d5","New Voucher Type","Attendance","None",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000022","Payment","Payment","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000050","Payroll","Payroll","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000038","Physical Stock","Physical Stock","Default",1,1
"9e3a44e6-0772-4858-98d2-d045badcf80f-0000002e","Purchase","Purchase","Default",0,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000042","Purchase Order","Purchase Order","Default",0,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000024","Receipt","Receipt","Default",0,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000032","Receipt Note","Receipt Note","Default",1,1
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000036","Rejections In","Rejections In","Default",1,1
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000034","Rejections Out","Rejections Out","Default",0,1
"9e3a44e6-0772-4858-98d2-d045badcf80f-0000003e","Reversing Journal","Reversing Journal","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-0000002c","Sales","Sales","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-00000040","Sales Order","Sales Order","Default",1,0
"9e3a44e6-0772-4858-98d2-d045badcf80f-0000003a","Stock Journal","Stock Journal","Default",1,1